City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Lake Charles,US,2021-04-21 21:15:46,30.2131,-93.2044,69.8,30,1,12.66
202,Ocos,GT,2021-04-21 21:17:22,14.5094,-92.1933,91.4,52,40,11.5
203,Broome,US,2021-04-21 21:17:22,42.2506,-75.833,37.0,80,90,17.27
204,Seabra,BR,2021-04-21 21:17:04,-12.4186,-41.7703,71.6,100,0,2.3
205,Tiksi,RU,2021-04-21 21:17:23,71.6872,128.8694,8.64,89,100,9.31
206,Ulladulla,AU,2021-04-21 21:17:23,-35.35,150.4667,48.99,66,0,10.36
207,Narsaq,GL,2021-04-21 21:17:24,60.9167,-46.05,48.2,29,75,28.77
208,Bredasdorp,ZA,2021-04-21 21:17:24,-34.5322,20.0403,60.8,94,98,5.75
209,Neuquen,AR,2021-04-21 21:17:24,-38.9516,-68.0591,68.0,52,20,3.44
210,Esperance,AU,2021-04-21 21:17:25,-33.8667,121.9,57.2,94,90,3.44
211,Sao Miguel Do Araguaia,BR,2021-04-21 21:17:25,-13.275,-50.1628,79.61,65,49,0.38
212,Saint-Raphael,HT,2021-04-21 21:17:26,19.4333,-72.2,83.35,53,57,8.05
213,College,US,2021-04-21 21:17:26,64.8569,-147.8028,44.6,29,1,2.77
214,Barrow,US,2021-04-21 21:17:27,71.2906,-156.7887,21.2,86,1,5.75
215,Airai,TL,2021-04-21 21:17:27,-8.9266,125.4092,57.13,94,54,2.04
216,Sakakah,SA,2021-04-21 21:17:27,29.9697,40.2064,87.8,12,20,6.91
217,Dunedin,NZ,2021-04-21 21:17:02,-45.8742,170.5036,54.0,90,94,3.0
218,Kuala Sungai Baru,MY,2021-04-21 21:17:28,2.3594,102.0353,78.01,100,20,6.46
219,Lompoc,US,2021-04-21 21:17:28,34.6391,-120.4579,57.2,72,27,8.05
220,Isangel,VU,2021-04-21 21:17:29,-19.55,169.2667,84.2,79,75,4.9
221,Cap Malheureux,MU,2021-04-21 21:17:29,-19.9842,57.6142,77.0,86,100,1.01
222,Arica,CL,2021-04-21 21:15:07,-18.475,-70.3042,69.8,64,0,10.36
223,Kharitonovo,RU,2021-04-21 21:17:30,61.4009,47.4978,37.17,95,100,11.79
224,Mantena,BR,2021-04-21 21:17:30,-18.7817,-40.9803,72.93,64,77,3.27
225,Jati,PK,2021-04-21 21:17:31,24.3539,68.2671,80.42,63,0,13.09
226,Yasnyy,RU,2021-04-21 21:17:31,51.0333,59.8742,39.85,53,77,8.68
227,Ilulissat,GL,2021-04-21 21:17:32,69.2167,-51.1,26.6,54,7,6.91
228,Heythuysen,NL,2021-04-21 21:17:32,51.25,5.8986,46.99,66,24,8.99
229,Ponta Do Sol,PT,2021-04-21 21:17:32,32.6667,-17.1,64.0,74,88,1.99
230,Buta,CD,2021-04-21 21:17:33,2.7858,24.73,69.26,99,100,1.88
231,Caravelas,BR,2021-04-21 21:17:33,-17.7125,-39.2481,76.21,83,100,5.32
232,Nalut,LY,2021-04-21 21:17:34,30.3333,10.85,74.28,23,0,11.14
233,Quesnel,CA,2021-04-21 21:15:06,52.9999,-122.5029,62.6,25,1,9.22
234,Biarritz,FR,2021-04-21 21:17:34,43.4801,-1.5556,59.0,88,0,4.61
235,Lavrentiya,RU,2021-04-21 21:17:35,65.5833,-171.0,30.31,62,95,1.83
236,Souillac,MU,2021-04-21 21:17:36,-20.5167,57.5167,78.8,89,75,5.75
237,Flinders,AU,2021-04-21 21:17:36,-34.5833,150.8552,50.0,71,1,4.0
238,Gerash,IR,2021-04-21 21:17:36,27.6652,54.1371,73.4,31,0,3.91
239,Katsuura,JP,2021-04-21 21:17:37,35.1333,140.3,60.8,33,0,12.66
240,Codrington,AU,2021-04-21 21:17:37,-38.2667,141.9667,52.79,84,98,9.82
241,Jiuquan,CN,2021-04-21 21:17:38,39.7432,98.5174,57.33,23,100,3.74
242,Trairi,BR,2021-04-21 21:17:38,-3.2778,-39.2689,77.54,82,31,4.83
243,San Patricio,US,2021-04-21 21:17:39,28.017,-97.5169,73.99,46,75,11.5
244,Greve Strand,DK,2021-04-21 21:17:40,55.5834,12.2999,43.0,65,55,19.57
245,Kamenka,RU,2021-04-21 21:17:41,51.3223,42.7678,43.0,94,100,7.9
246,Torata,PE,2021-04-21 21:17:41,-17.0769,-70.8433,64.11,50,0,7.9
247,Poum,NC,2021-04-21 21:17:41,-20.2333,164.0167,77.02,83,55,10.83
248,Katobu,ID,2021-04-21 21:17:42,-4.9408,122.5276,73.85,92,100,2.53
249,Taoudenni,ML,2021-04-21 21:17:42,22.6783,-3.9836,90.99,8,0,4.88
250,Iqaluit,CA,2021-04-21 21:17:43,63.7506,-68.5145,19.4,86,90,20.71
251,Valdagno,IT,2021-04-21 21:17:43,45.6483,11.3064,50.0,80,78,3.0
252,Alyangula,AU,2021-04-21 21:17:44,-13.8483,136.4192,73.4,100,97,2.3
253,Pahalgam,IN,2021-04-21 21:17:44,34.0333,75.3333,35.22,88,100,3.91
254,Hofn,IS,2021-04-21 21:17:44,64.2539,-15.2082,42.48,63,100,2.77
255,Xichang,CN,2021-04-21 21:17:45,27.8964,102.2634,59.04,50,0,0.92
256,Coquimbo,CL,2021-04-21 21:13:15,-29.9533,-71.3436,62.6,82,0,14.97
257,Solnechnyy,RU,2021-04-21 21:17:45,50.7214,136.6319,37.56,75,1,5.61
258,Aden,YE,2021-04-21 21:13:16,12.7794,45.0367,81.79,71,69,16.78
259,Sevlievo,BG,2021-04-21 21:17:46,43.0258,25.1136,46.0,86,7,4.81
260,Batagay,RU,2021-04-21 21:17:46,67.6333,134.6333,10.83,94,99,1.66
261,Khurai,IN,2021-04-21 21:17:47,24.0436,78.3319,79.56,26,37,4.27
262,Dera Bugti,PK,2021-04-21 21:17:47,29.0307,69.151,77.4,34,9,4.92
263,Los Llanos De Aridane,ES,2021-04-21 21:17:47,28.6585,-17.9182,68.0,73,75,10.36
264,Iwanai,JP,2021-04-21 21:17:48,42.9744,140.5089,39.06,81,4,4.59
265,Viedma,AR,2021-04-21 21:17:48,-40.8135,-62.9967,66.87,72,100,10.83
266,Bom Jesus,BR,2021-04-21 21:17:49,-9.0744,-44.3586,74.71,89,100,3.51
267,Capaci,IT,2021-04-21 21:17:49,38.1711,13.2393,64.4,63,0,11.5
268,Challapata,BO,2021-04-21 21:17:49,-18.9,-66.7667,58.24,16,0,5.7
269,Mount Isa,AU,2021-04-21 21:17:50,-20.7333,139.5,71.6,18,70,13.8
270,Alta Floresta,BR,2021-04-21 21:17:50,-9.8756,-56.0861,84.2,74,75,3.44
271,Tunceli,TR,2021-04-21 21:17:51,39.1083,39.5471,68.0,37,0,6.91
272,Sayville,US,2021-04-21 21:17:51,40.7359,-73.0821,53.01,91,91,5.01
273,Muravlenko,RU,2021-04-21 21:17:52,63.7898,74.523,14.61,89,43,11.3
274,Mandurah,AU,2021-04-21 21:17:52,-32.55,115.7,59.0,80,68,13.56
275,Sitka,US,2021-04-21 21:17:52,57.0531,-135.33,50.0,62,20,4.61
276,Saint-Francois,FR,2021-04-21 21:17:53,46.4154,3.9054,48.0,81,0,3.44
277,Nisia Floresta,BR,2021-04-21 21:17:53,-6.0911,-35.2086,82.4,78,20,9.22
278,Tuatapere,NZ,2021-04-21 21:17:53,-46.1333,167.6833,48.99,97,92,5.01
279,Yar-Sale,RU,2021-04-21 21:17:54,66.8333,70.8333,33.04,90,100,11.25
280,Baykit,RU,2021-04-21 21:17:54,61.67,96.37,10.02,94,68,2.15
281,Sinnamary,GF,2021-04-21 21:17:55,5.3833,-52.95,77.76,88,100,12.35
282,Singkang,MY,2021-04-21 21:17:55,2.1006,102.7994,78.01,100,20,0.22
283,Lebu,CL,2021-04-21 21:17:55,-37.6167,-73.65,55.24,79,43,17.27
284,Kasane,BW,2021-04-21 21:17:56,-17.8167,25.15,61.59,58,0,5.44
285,Saint-Augustin,CA,2021-04-21 21:17:56,51.226,-58.6502,39.96,76,95,9.91
