City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Pafos,CY,34.7667,32.4167,59.0,55,0,5.75,clear sky
273,Takaka,NZ,-40.85,172.8,59.0,70,50,5.99,scattered clouds
274,Itaituba,BR,-4.2761,-55.9836,75.81,97,100,1.61,overcast clouds
275,Jardim,BR,-21.4803,-56.1381,67.75,90,57,5.68,broken clouds
276,Oda,JP,35.1833,132.5,55.4,50,40,16.11,scattered clouds
277,Erzin,TR,36.9559,36.2,68.0,66,100,2.48,overcast clouds
278,Sao Filipe,CV,14.8961,-24.4956,72.54,71,81,10.92,broken clouds
279,Didi Lilo,GE,41.7361,44.9647,60.8,82,90,2.3,overcast clouds
280,Kulu,TR,39.0951,33.0799,51.91,83,63,9.78,light rain
281,Sibi,PK,29.5448,67.8764,85.53,19,0,1.88,clear sky
282,Dongsheng,CN,39.8161,109.9776,43.84,45,0,13.87,clear sky
283,Luderitz,NA,-26.6481,15.1594,62.22,86,95,2.04,overcast clouds
284,Mnogovershinnyy,RU,53.9353,139.9242,28.02,71,6,4.16,clear sky
285,Khani,GE,41.9563,42.9566,51.8,93,75,2.3,broken clouds
286,Alyangula,AU,-13.8483,136.4192,80.6,100,75,11.48,broken clouds
287,Mantua,IT,45.1667,10.7833,57.99,67,100,1.99,overcast clouds
288,Nicolas Bravo,MX,18.45,-88.9167,86.0,66,20,12.66,few clouds
289,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,19.57,clear sky
290,Morant Bay,JM,17.8815,-76.4093,80.6,74,40,9.22,scattered clouds
291,Taos,US,36.4072,-105.5731,73.4,8,1,31.07,clear sky
292,Dingle,PH,10.9995,122.6711,79.39,78,38,3.4,light rain
293,Alto Araguaia,BR,-17.3147,-53.2153,71.26,54,100,6.31,overcast clouds
294,Vertientes,CU,21.2594,-78.1464,77.0,88,40,5.75,moderate rain
295,Ouro Branco,BR,-20.5208,-43.6919,62.87,63,61,2.28,broken clouds
296,Fortuna,US,40.5982,-124.1573,55.0,66,90,9.22,overcast clouds
297,Toora-Khem,RU,52.4675,96.11,25.7,85,50,3.09,scattered clouds
298,Khatanga,RU,71.9667,102.5,5.02,94,72,11.32,broken clouds
299,Kapit,MY,2.0167,112.9333,73.58,99,86,1.21,overcast clouds
300,Hendek,TR,40.7994,30.7481,46.4,100,75,4.61,broken clouds
